cycle_idx,q_NS_ema,q_EW_ema,ns_delay_prev,ew_delay_prev,prev_split,prev_cycle,s_star,C_star
117,605.9555238613834,627.2897241716585,722,769,0.5263454124545521,105.68176839452799,0.504562574732466,105.73796778077764
118,647.0688667029684,665.0028069201609,743,753,0.504562574732466,105.73796778077764,0.5667263049456623,95.34122599270721
119,703.4482066920779,710.9019648441126,835,818,0.5667263049456623,95.34122599270721,0.45971850303530326,60.924263926545514
120,617.5137446844544,616.4313753908788,417,396,0.45971850303530326,60.924263926545514,0.49781566265683963,88.22521909052197
121,656.659621279118,655.6019627736151,748,747,0.49781566265683963,88.22521909052197,0.5282811216789848,87.7966278481877
122,685.8617348953826,689.6213739415305,754,769,0.5282811216789848,87.7966278481877,0.49194164462384016,86.30921616185647
123,690.1032144267679,699.6349617590713,700,723,0.49194164462384016,86.30921616185647,0.49750475833901053,85.98991711832906
124,639.6722500987374,649.0444732313499,522,531,0.49750475833901053,85.98991711832906,0.516609627083669,119.38845017763408
125,710.8705750691162,737.5311312619449,877,944,0.516609627083669,119.38845017763408,0.5316495577895125,82.62010842810415
126,662.6094025483812,686.0717918833614,550,566,0.5316495577895125,82.62010842810415,0.6356047371790887,112.26031748161485
127,740.1265817838669,756.250254318353,921,920,0.6356047371790887,112.26031748161485,0.6093112603769255,101.36543191908184
128,668.9886072487068,681.7751780228471,503,508,0.6093112603769255,101.36543191908184,0.5842650806332457,88.1475980659768
129,627.5920250740947,636.8426246159929,531,532,0.5842650806332457,88.1475980659768,0.5620082456729154,99.82296367052902
130,631.3144175518663,646.189837231195,640,668,0.5620082456729154,99.82296367052902,0.6653475720287867,119.37229161100205
131,701.1200922863063,715.7328860618366,864,878,0.6653475720287867,119.37229161100205,0.5834239499992773,102.95043186109521
132,712.1840646004144,720.3130202432856,738,731,0.5834239499992773,102.95043186109521,0.6575464436812383,100.14424097562026
133,685.4288452202901,692.9191141702998,623,629,0.6575464436812383,100.14424097562026,0.6485327267041442,92.49686967601558
134,637.300191654203,644.6433799192099,525,532,0.6485327267041442,92.49686967601558,0.5792811516427498,70.82947722251456
135,594.310134157942,633.0503659434469,494,606,0.5792811516427498,70.82947722251456,0.6141249540406628,94.06472124887172
136,625.1170939105593,653.7352561604127,697,702,0.6141249540406628,94.06472124887172,0.6112000252849956,112.53573644934848
137,667.3819657373915,676.0146793122889,766,728,0.6112000252849956,112.53573644934848,0.6799986443692558,70.8870527808784
138,608.4673760161741,626.2102755186022,471,510,0.6799986443692558,70.8870527808784,0.6799986443692558,70.8870527808784
139,551.0271632113219,563.1471928630215,417,416,0.6799986443692558,70.8870527808784,0.5792060445661166,64.61442904496653
140,496.71901424792526,503.103035004115,370,363,0.5792060445661166,64.61442904496653,0.5139103481120368,106.00458952553866
141,555.0033099735476,560.3721245028805,691,694,0.5139103481120368,106.00458952553866,0.6638676293287878,73.14483543633482
142,496.80231698148333,510.46048715201636,361,394,0.6638676293287878,73.14483543633482,0.5828715204371613,101.7520127080868
143,589.8616218870383,598.2223410064114,807,803,0.5828715204371613,101.7520127080868,0.512188570374619,101.4760013594445
144,603.4031353209268,609.255638704488,635,635,0.512188570374619,101.4760013594445,0.570630614770044,105.47526477785583
145,680.3821947246488,682.9789470931416,860,855,0.570630614770044,105.47526477785583,0.5341706053628457,103.34343740329552
146,713.2675363072542,715.085262965199,790,790,0.5341706053628457,103.34343740329552,0.48737940805850954,79.52109997279538
147,652.8872754150779,656.8596840756393,512,521,0.48737940805850954,79.52109997279538,0.5368543317140378,72.40821810632933
148,589.0210927905545,592.1017788529474,440,441,0.5368543317140378,72.40821810632933,0.5219220185571322,115.77529215690747
149,622.914764953388,651.4712451970631,702,790,0.5219220185571322,115.77529215690747,0.5890390890511724,83.99948210770994
150,630.7403354673716,656.7298716379441,649,669,0.5890390890511724,83.99948210770994,0.5848069559517417,75.6623414444482
151,599.6182348271601,625.0109101465608,527,551,0.5848069559517417,75.6623414444482,0.5873165777915385,118.02506233306377
152,671.1327643790121,686.5076371025925,838,830,0.5873165777915385,118.02506233306377,0.4975583358166108,71.3151469168044
153,554.0929350653084,598.1553459718148,281,392,0.4975583358166108,71.3151469168044,0.607361282359718,85.17662750430233
154,563.9650545457159,600.8087421802703,587,607,0.607361282359718,85.17662750430233,0.43640992524550953,97.43928718697335
155,578.9755381820012,605.3661195261892,614,616,0.43640992524550953,97.43928718697335,0.47155231207864184,81.75697951899181
156,535.7828767274008,559.0562836683324,435,451,0.47155231207864184,81.75697951899181,0.5990445797598839,79.05098959010414
157,510.0480137091805,527.2393985678327,450,453,0.5990445797598839,79.05098959010414,0.45665389061447703,110.39929837696141
158,553.2336095964263,567.9675789974829,654,663,0.45665389061447703,110.39929837696141,0.6825604348636685,116.39662091615666
159,590.9635267174983,603.677305298238,679,687,0.6825604348636685,116.39662091615666,0.6825604348636685,116.39662091615666
160,598.7744687022488,606.1741137087666,617,612,0.6825604348636685,116.39662091615666,0.6575402115670209,114.85270231449067
161,595.8421280915741,627.4218795961366,589,677,0.6575402115670209,114.85270231449067,0.543362873546338,98.34867228252351
162,548.1894896641019,567.8953157172956,437,429,0.543362873546338,98.34867228252351,0.6868374798439936,112.51048652223372
163,550.5326427648713,532.5267210021069,556,450,0.6868374798439936,112.51048652223372,0.6868374798439936,112.51048652223372
164,514.3728499354099,523.9687047014747,430,504,0.6868374798439936,112.51048652223372,0.685150119937878,76.81511868005806
165,452.7609949547869,441.4780932910323,309,249,0.685150119937878,76.81511868005806,0.685150119937878,92.47056417007434
166,428.53269646835076,411.6346653037226,372,342,0.685150119937878,92.47056417007434,0.6854345801043218,95.82168204741703
167,434.3728875278455,412.64426571260583,448,415,0.6854345801043218,95.82168204741703,0.6059283166252655,88.55983782939103
168,390.7610212694918,371.9509859988241,289,277,0.6059283166252655,88.55983782939103,0.6503505107063738,80.6733370377696
169,367.73271488864424,362.96569019917683,314,342,0.6503505107063738,80.6733370377696,0.6693152767058419,97.743361153845
170,370.8129004220509,360.2759831394238,378,354,0.6693152767058419,97.743361153845,0.684907199499142,95.41033383418139
171,382.56903029543565,335.8931881975966,410,279,0.684907199499142,95.41033383418139,0.6169381992997287,67.7201197320566
172,315.4983212068049,279.8252317383176,159,149,0.6169381992997287,67.7201197320566,0.6868435138592754,93.39180858507942
173,328.54882484476343,297.8776622168223,359,340,0.6868435138592754,93.39180858507942,0.6424294801389925,110.51116593237988
174,349.6841773913344,325.51436355177555,399,390,0.6424294801389925,110.51116593237988,0.6870647658947026,75.76277465066119
175,323.97892417393405,294.76005448624284,264,223,0.6870647658947026,75.76277465066119,0.6870647658947026,88.31827221238468
176,337.1852469217538,271.43203814036997,368,217,0.6870647658947026,88.31827221238468,0.6870986559870467,77.05073770908486
177,364.4296728452276,281.80242669825896,428,306,0.6870986559870467,77.05073770908486,0.6871639260498632,118.55366441419746
178,432.7007709916593,369.16169868878126,592,573,0.6871639260498632,118.55366441419746,0.5065531672714119,116.32480492064063
179,435.4905396941615,356.81318908214683,442,328,0.5065531672714119,116.32480492064063,0.6814639928375665,116.75139213979604
180,443.743377785913,342.7692323575028,463,310,0.6814639928375665,116.75139213979604,0.6700370859424355,104.23171346278087
181,386.5203644501391,310.43846265025195,253,235,0.6700370859424355,104.23171346278087,0.6796002112796704,117.95454399685812
182,443.06425511509735,279.1069238551764,575,206,0.6796002112796704,117.95454399685812,0.6675405095736928,86.43029733498838
183,397.14497858056814,287.77484669862343,290,308,0.6675405095736928,86.43029733498838,0.684546955366513,71.13910863513026
184,364.70148500639766,267.4423926890364,289,220,0.684546955366513,71.13910863513026,0.6844399811414991,97.60163112866782
185,383.69103950447834,297.0096748823255,428,366,0.6844399811414991,97.60163112866782,0.5754688744333715,83.72276822841039
186,368.4837276531348,297.60677241762784,333,299,0.5754688744333715,83.72276822841039,0.6743475798089499,83.89830036822953
1,0.0,0.0,0.0,0.0,0.5,90,0.4993500257305402,66.83284727723834
2,17.7,15.899999999999999,59,53,0.4993500257305402,66.83284727723834,0.6414147886303876,89.32000981352616
3,46.589999999999996,46.83,114,119,0.6414147886303876,89.32000981352616,0.576151826579473,74.75948018505426
4,58.413,60.081,86,91,0.576151826579473,74.75948018505426,0.5889628572748433,74.56103850912461
5,75.6891,77.7567,116,119,0.5889628572748433,74.56103850912461,0.5496967685344311,60.0653104558799
6,89.28236999999999,90.42969,121,120,0.5496967685344311,60.0653104558799,0.5008013202193334,86.29880992578406
7,122.19765899999999,122.40078299999999,199,197,0.5008013202193334,86.29880992578406,0.6682222395217792,89.76995150984907
8,157.2383613,162.18054809999998,239,255,0.6682222395217792,89.76995150984907,0.4637592382991108,85.64867312042887
9,140.96685291,145.92638366999998,103,108,0.4637592382991108,85.64867312042887,0.6224993580899603,82.03068962682036
10,146.376797037,148.648468569,159,155,0.6224993580899603,82.03068962682036,0.48600911570639194,112.12272033209318
11,173.86375792589996,176.05392799829997,238,240,0.48600911570639194,112.12272033209318,0.5175575317392049,74.29313323250739
12,166.40463054812997,167.03774959880997,149,146,0.5175575317392049,74.29313323250739,0.5260959689395597,63.88265205884201
13,161.78324138369095,163.72642471916697,151,156,0.5260959689395597,63.88265205884201,0.6666281661103202,91.99539228471502
14,184.04826896858367,188.40849730341688,236,246,0.6666281661103202,91.99539228471502,0.6189432894298583,66.57312071486722
15,168.73378827800857,172.9859481123918,133,137,0.6189432894298583,66.57312071486722,0.5323055139731956,70.3162336543117
16,170.313651794606,173.89016367867424,174,176,0.5323055139731956,70.3162336543117,0.653757757284911,70.25816093321674
17,151.3195562562242,153.82311457507197,107,107,0.653757757284911,70.25816093321674,0.4753099420732296,104.59009777822295
18,170.72368937935693,174.57618020255035,216,223,0.4753099420732296,104.59009777822295,0.4551877568167416,68.77498985299002
19,164.80658256554983,169.00332614178524,151,156,0.4551877568167416,68.77498985299002,0.6699435060541866,106.9678321638586
20,197.26460779588487,211.30232829924967,273,310,0.6699435060541866,106.9678321638586,0.6855957125806506,96.43608816355814
21,218.7852254571194,229.81162980947477,269,273,0.6855957125806506,96.43608816355814,0.40511781178567874,83.04977662689438
22,205.04965781998357,213.06814086663232,173,174,0.40511781178567874,83.04977662689438,0.6041084998099777,72.01918297274256
23,177.73476047398847,184.24769860664262,114,117,0.6041084998099777,72.01918297274256,0.6856823643539807,69.78082235752466
24,173.31433233179192,173.97338902464983,163,150,0.6856823643539807,69.78082235752466,0.6199002826278386,103.21901665139065
25,178.32003263225434,182.98137231725488,190,204,0.6199002826278386,103.21901665139065,0.5355056415609005,67.27835076770079
26,176.72402284257802,184.4869606220784,173,188,0.5355056415609005,67.27835076770079,0.6096738417473088,119.00762185659958
27,222.1068159898046,221.8408724354549,328,309,0.6096738417473088,119.00762185659958,0.5372144202295812,65.32308382888526
28,191.77477119286323,193.08861070481845,121,126,0.5372144202295812,65.32308382888526,0.548045371220669,97.3931403748712
29,207.14233983500424,207.4620274933729,243,241,0.548045371220669,97.3931403748712,0.5554005023365121,70.06491861069904
30,194.49963788450296,193.52341924536103,165,161,0.5554005023365121,70.06491861069904,0.5756793123398883,113.00023644619199
31,251.64974651915207,249.76639347175268,385,381,0.5756793123398883,113.00023644619199,0.4449120236748475,94.49954545055493
32,245.75482256340644,247.73647543022685,232,243,0.4449120236748475,94.49954545055493,0.6303833405382422,82.53985234722124
33,235.62837579438448,236.11553280115876,212,209,0.6303833405382422,82.53985234722124,0.6496630451596894,81.67855399783915
34,223.13986305606912,238.18087296081114,194,243,0.6496630451596894,81.67855399783915,0.6391536406438005,94.07437027206079
35,234.79790413924837,247.12661107256775,262,268,0.6391536406438005,94.07437027206079,0.5580737973792025,84.21737075364221
36,242.05853289747387,250.3886277507974,259,258,0.5580737973792025,84.21737075364221,0.3309438256442703,82.03673269846257
37,216.5409730282317,222.07203942555816,157,156,0.3309438256442703,82.03673269846257,0.664696972923307,80.7852387514748
38,199.27868111976215,215.4504275978907,159,200,0.664696972923307,80.7852387514748,0.5816138423469123,61.958603686576716
39,191.0950767838335,203.31529931852347,172,175,0.5816138423469123,61.958603686576716,0.4498710449955622,96.63779488693072
40,222.56655374868342,233.5207095229664,296,304,0.4498710449955622,96.63779488693072,0.6480592974679005,67.70785740788222
41,201.99658762407836,213.26449666607647,154,166,0.6480592974679005,67.70785740788222,0.5089170218339107,86.69895112312608
42,237.69761133685483,248.58514766625353,321,331,0.5089170218339107,86.69895112312608,0.5089170218339107,86.69895112312608
43,254.58832793579836,270.6096033663774,294,322,0.5089170218339107,86.69895112312608,0.6787711645462448,69.10541210881297
44,218.41182955505883,230.22672235646417,134,136,0.6787711645462448,69.10541210881297,0.6027363037043837,83.06014888774983
45,210.78828068854116,216.0587056495249,193,183,0.6027363037043837,83.06014888774983,0.6027363037043837,70.78982011865018
46,207.8517964819788,211.84109395466743,201,202,0.6027363037043837,70.78982011865018,0.5625119291239646,84.16032867148999
47,227.09625753738513,233.78876576826718,272,285,0.5625119291239646,84.16032867148999,0.5619223271639221,107.75415182837914
48,263.36738027616957,275.252136037787,348,372,0.5619223271639221,107.75415182837914,0.4604572854185812,63.95600224191433
49,231.75716619331868,242.7764952264509,158,167,0.4604572854185812,63.95600224191433,0.455716485050777,108.94125311722256
50,264.53001633532307,276.7435466585156,341,356,0.455716485050777,108.94125311722256,0.5837994657492014,109.88982251326911
51,283.57101143472613,305.0204826609609,328,371,0.5837994657492014,109.88982251326911,0.5471694521186561,75.30068034021745
52,262.9997080043083,293.61433786267264,215,267,0.5471694521186561,75.30068034021745,0.6041700023673318,76.81229899420515
53,259.3997956030158,293.43003650387084,251,293,0.6041700023673318,76.81229899420515,0.5722593120096693,72.95344696491182
54,242.17985692211101,278.6010255527096,202,244,0.5722593120096693,72.95344696491182,0.6850752017256075,96.01562041474713
55,314.72589984547767,300.0207178868967,484,350,0.6850752017256075,96.01562041474713,0.6265793433720572,62.23511583453361
56,260.20812989183435,251.41450252082768,133,138,0.6265793433720572,62.23511583453361,0.39436665137080174,103.6964833197523
57,312.64569092428405,317.59015176457933,435,472,0.39436665137080174,103.6964833197523,0.6834010904375505,111.45534752823777
58,493.95198364699877,350.41310623520553,917,427,0.6834010904375505,111.45534752823777,0.43518821343932906,80.15313327160342
59,414.7663885528991,316.38917436464385,230,237,0.43518821343932906,80.15313327160342,0.676767976101775,81.28689111837757
60,341.9364719870294,272.4724220552507,172,170,0.676767976101775,81.28689111837757,0.4370977540978269,65.61800027795275
61,309.5555303909206,259.1306954386755,234,228,0.4370977540978269,65.61800027795275,0.5450227183152929,110.60725973822476
62,345.3888712736444,325.6914868070728,429,481,0.5450227183152929,110.60725973822476,0.56820776610988,71.384579209899
63,302.67220989155106,288.58404076495094,203,202,0.56820776610988,71.384579209899,0.4810853669206018,70.98245147268385
64,258.97054692408574,251.80882853546564,157,166,0.4810853669206018,70.98245147268385,0.6164461214860895,67.42816649354079
65,228.37938284686,223.06617997482596,157,156,0.6164461214860895,67.42816649354079,0.5949974846255535,113.38420022137751
66,262.765567992802,256.94632598237814,343,336,0.5949974846255535,113.38420022137751,0.6691434491366046,60.30593546183825
67,270.3358975949614,265.96242818766467,288,287,0.6691434491366046,60.30593546183825,0.5637682839533505,84.4882354315887
68,326.33512831647295,325.6736997313652,457,465,0.5637682839533505,84.4882354315887,0.5891039703104982,84.96177795959831
69,394.03458982153103,413.0715898119556,552,617,0.5891039703104982,84.96177795959831,0.5891039703104982,84.96177795959831
70,446.8242128750717,462.8501128683689,570,579,0.5891039703104982,84.96177795959831,0.5811302480823394,71.38585587682502
71,440.5769490125502,459.5950790078582,426,452,0.5811302480823394,71.38585587682502,0.6237480023400268,71.76024313881295
72,470.7038643087851,489.4165553055007,541,559,0.6237480023400268,71.76024313881295,0.6096286532119551,71.24527732220137
73,463.5927050161496,484.49158871385043,447,473,0.6096286532119551,71.24527732220137,0.621783115881124,86.03743883853487
74,484.41489351130474,495.74411209969526,533,522,0.621783115881124,86.03743883853487,0.6506426007775492,86.03863176949052
75,501.6904254579133,512.0208784697867,542,550,0.6506426007775492,86.03863176949052,0.5552749493094002,74.82572719665936
76,489.4832978205393,490.11461492885064,461,439,0.5552749493094002,74.82572719665936,0.5635680083265207,70.0981772418043
77,520.2383084743775,520.3802304501954,592,591,0.5635680083265207,70.0981772418043,0.4070348834775939,77.48086831798769
78,512.0668159320643,525.6661613151368,493,538,0.4070348834775939,77.48086831798769,0.5522516294206878,87.9919366370981
79,579.2467711524449,607.3663129205958,736,798,0.5522516294206878,87.9919366370981,0.6601272626883574,100.76891536273087
80,598.0727398067114,639.056419044417,642,713,0.6601272626883574,100.76891536273087,0.667219642712332,117.88189438659398
81,692.550917864698,723.6394933310919,913,921,0.667219642712332,117.88189438659398,0.5959107223850126,108.03811276829977
82,694.4856425052885,714.1476453317642,699,692,0.5959107223850126,108.03811276829977,0.5204515704248805,64.4446734764107
83,599.539949753702,611.5033517322349,378,372,0.5204515704248805,64.4446734764107,0.6581708700883974,71.30936550063164
84,544.1779648275914,548.9523462125644,415,403,0.6581708700883974,71.30936550063164,0.6790429780248233,110.58187891679111
85,632.6245753793139,641.366642348795,839,857,0.6790429780248233,110.58187891679111,0.6500760805385344,118.95696169507636
86,694.5372027655196,703.6566496441565,839,849,0.6500760805385344,118.95696169507636,0.49904474816890204,91.36803069256398
87,654.1760419358636,663.8596547509095,560,571,0.49904474816890204,91.36803069256398,0.6814422723220853,95.24308768409517
88,656.8232293551046,660.3017583256366,663,652,0.6814422723220853,95.24308768409517,0.6001702361260692,65.69911420172409
89,623.2762605485732,635.0112308279455,545,576,0.6001702361260692,65.69911420172409,0.5017612130914169,65.69516981637109
90,590.7933823840012,611.0078615795619,515,555,0.5017612130914169,65.69516981637109,0.6279020144701197,81.01800542897915
91,612.1553676688009,627.8055031056933,662,667,0.6279020144701197,81.01800542897915,0.6084289353858117,80.74972920489026
92,576.1087573681606,609.2638521739852,492,566,0.6084289353858117,80.74972920489026,0.6634301735278332,80.76784302602425
93,590.1761301577124,640.0846965217896,623,712,0.6634301735278332,80.76784302602425,0.6860342370975021,93.43616920263142
94,654.0232911103985,690.7592875652526,803,809,0.6860342370975021,93.43616920263142,0.5047676625892812,73.43995108871665
95,603.9163037772789,633.5315012956769,487,500,0.5047676625892812,73.43995108871665,0.6647158330019168,76.15252831764269
96,613.2414126440952,636.3720509069738,635,643,0.6647158330019168,76.15252831764269,0.6856262560797534,60.50359919860833
97,569.6689888508666,540.2604356348816,468,316,0.6856262560797534,60.50359919860833,0.6145909624997399,110.44681094514284
98,620.4682921956066,621.1823049444171,739,810,0.6145909624997399,110.44681094514284,0.6793299284759614,83.32324311823555
99,657.2278045369246,662.8276134610919,743,760,0.6793299284759614,83.32324311823555,0.6839592589697552,83.444012357769
100,687.1594631758472,693.1793294227643,757,764,0.6839592589697552,83.444012357769,0.6819358182722666,68.69459090596713
101,625.611624223093,628.6255305959351,482,478,0.6819358182722666,68.69459090596713,0.6633097555209841,68.92922406943985
102,599.628136956165,605.9378714171545,539,553,0.6633097555209841,68.92922406943985,0.5948055286231002,80.79932847727339
103,606.0396958693154,627.8565099920081,621,679,0.5948055286231002,80.79932847727339,0.6131416163655847,60.53046550006649
104,525.0277871085208,546.8995569944057,336,358,0.6131416163655847,60.53046550006649,0.5967968049833843,78.06650294044277
105,565.8194509759645,582.0296898960839,661,664,0.5967968049833843,78.06650294044277,0.5721276484535602,88.27559390298931
106,626.1736156831752,663.0207829272588,767,852,0.5721276484535602,88.27559390298931,0.5650336803885865,69.62826433233275
107,603.6215309782226,640.2145480490811,551,587,0.5650336803885865,69.62826433233275,0.6501276095187996,76.94144217307522
108,599.2350716847558,632.0501836343568,589,613,0.6501276095187996,76.94144217307522,0.6766488235093037,119.21011923231599
109,748.264550179329,715.1351285440497,1096,909,0.6766488235093037,119.21011923231599,0.5456987144625921,113.05828746246257
110,737.0851851255303,709.6945899808347,711,697,0.5456987144625921,113.05828746246257,0.6406203702347172,99.63396184268142
111,708.5596295878712,706.7862129865844,642,700,0.6406203702347172,99.63396184268142,0.6643163583394471,62.236369763022914
112,574.5917407115098,576.650349090609,262,273,0.6643163583394471,62.236369763022914,0.5833968448225422,74.21139137637141
113,532.1142184980569,529.6552443634263,433,420,0.5833968448225422,74.21139137637141,0.5848960397285616,75.67249951867845
114,507.7799529486398,531.2586710543983,451,535,0.5848960397285616,75.67249951867845,0.6163064702575642,106.50358989074464
115,607.7459670640478,619.0810697380788,841,824,0.6163064702575642,106.50358989074464,0.46943133431577727,69.46301069649395
116,556.2221769448334,566.556748816655,436,444,0.46943133431577727,69.46301069649395,0.5263454124545521,105.68176839452799
117,605.9555238613834,627.2897241716585,722,769,0.5263454124545521,105.68176839452799,0.504562574732466,105.73796778077764
118,647.0688667029684,665.0028069201609,743,753,0.504562574732466,105.73796778077764,0.5667263049456623,95.34122599270721
119,703.4482066920779,710.9019648441126,835,818,0.5667263049456623,95.34122599270721,0.45971850303530326,60.924263926545514
120,617.5137446844544,616.4313753908788,417,396,0.45971850303530326,60.924263926545514,0.49781566265683963,88.22521909052197
121,656.659621279118,655.6019627736151,748,747,0.49781566265683963,88.22521909052197,0.5282811216789848,87.7966278481877
122,685.8617348953826,689.6213739415305,754,769,0.5282811216789848,87.7966278481877,0.49194164462384016,86.30921616185647
123,690.1032144267679,699.6349617590713,700,723,0.49194164462384016,86.30921616185647,0.49750475833901053,85.98991711832906
124,639.6722500987374,649.0444732313499,522,531,0.49750475833901053,85.98991711832906,0.516609627083669,119.38845017763408
125,710.8705750691162,737.5311312619449,877,944,0.516609627083669,119.38845017763408,0.5316495577895125,82.62010842810415
126,662.6094025483812,686.0717918833614,550,566,0.5316495577895125,82.62010842810415,0.6356047371790887,112.26031748161485
127,740.1265817838669,756.250254318353,921,920,0.6356047371790887,112.26031748161485,0.6093112603769255,101.36543191908184
128,668.9886072487068,681.7751780228471,503,508,0.6093112603769255,101.36543191908184,0.5842650806332457,88.1475980659768
129,627.5920250740947,636.8426246159929,531,532,0.5842650806332457,88.1475980659768,0.5620082456729154,99.82296367052902
130,631.3144175518663,646.189837231195,640,668,0.5620082456729154,99.82296367052902,0.6653475720287867,119.37229161100205
131,701.1200922863063,715.7328860618366,864,878,0.6653475720287867,119.37229161100205,0.5834239499992773,102.95043186109521
132,712.1840646004144,720.3130202432856,738,731,0.5834239499992773,102.95043186109521,0.6575464436812383,100.14424097562026
133,685.4288452202901,692.9191141702998,623,629,0.6575464436812383,100.14424097562026,0.6485327267041442,92.49686967601558
134,637.300191654203,644.6433799192099,525,532,0.6485327267041442,92.49686967601558,0.5792811516427498,70.82947722251456
135,594.310134157942,633.0503659434469,494,606,0.5792811516427498,70.82947722251456,0.6141249540406628,94.06472124887172
136,625.1170939105593,653.7352561604127,697,702,0.6141249540406628,94.06472124887172,0.6112000252849956,112.53573644934848
137,667.3819657373915,676.0146793122889,766,728,0.6112000252849956,112.53573644934848,0.6799986443692558,70.8870527808784
138,608.4673760161741,626.2102755186022,471,510,0.6799986443692558,70.8870527808784,0.6799986443692558,70.8870527808784
139,551.0271632113219,563.1471928630215,417,416,0.6799986443692558,70.8870527808784,0.5792060445661166,64.61442904496653
140,496.71901424792526,503.103035004115,370,363,0.5792060445661166,64.61442904496653,0.5139103481120368,106.00458952553866
141,555.0033099735476,560.3721245028805,691,694,0.5139103481120368,106.00458952553866,0.6638676293287878,73.14483543633482
142,496.80231698148333,510.46048715201636,361,394,0.6638676293287878,73.14483543633482,0.5828715204371613,101.7520127080868
143,589.8616218870383,598.2223410064114,807,803,0.5828715204371613,101.7520127080868,0.512188570374619,101.4760013594445
144,603.4031353209268,609.255638704488,635,635,0.512188570374619,101.4760013594445,0.570630614770044,105.47526477785583
145,680.3821947246488,682.9789470931416,860,855,0.570630614770044,105.47526477785583,0.5341706053628457,103.34343740329552
146,713.2675363072542,715.085262965199,790,790,0.5341706053628457,103.34343740329552,0.48737940805850954,79.52109997279538
147,652.8872754150779,656.8596840756393,512,521,0.48737940805850954,79.52109997279538,0.5368543317140378,72.40821810632933
148,589.0210927905545,592.1017788529474,440,441,0.5368543317140378,72.40821810632933,0.5219220185571322,115.77529215690747
149,622.914764953388,651.4712451970631,702,790,0.5219220185571322,115.77529215690747,0.5890390890511724,83.99948210770994
150,630.7403354673716,656.7298716379441,649,669,0.5890390890511724,83.99948210770994,0.5848069559517417,75.6623414444482
151,599.6182348271601,625.0109101465608,527,551,0.5848069559517417,75.6623414444482,0.5873165777915385,118.02506233306377
152,671.1327643790121,686.5076371025925,838,830,0.5873165777915385,118.02506233306377,0.4975583358166108,71.3151469168044
153,554.0929350653084,598.1553459718148,281,392,0.4975583358166108,71.3151469168044,0.607361282359718,85.17662750430233
154,563.9650545457159,600.8087421802703,587,607,0.607361282359718,85.17662750430233,0.43640992524550953,97.43928718697335
155,578.9755381820012,605.3661195261892,614,616,0.43640992524550953,97.43928718697335,0.47155231207864184,81.75697951899181
156,535.7828767274008,559.0562836683324,435,451,0.47155231207864184,81.75697951899181,0.5990445797598839,79.05098959010414
157,510.0480137091805,527.2393985678327,450,453,0.5990445797598839,79.05098959010414,0.45665389061447703,110.39929837696141
158,553.2336095964263,567.9675789974829,654,663,0.45665389061447703,110.39929837696141,0.6825604348636685,116.39662091615666
159,590.9635267174983,603.677305298238,679,687,0.6825604348636685,116.39662091615666,0.6825604348636685,116.39662091615666
160,598.7744687022488,606.1741137087666,617,612,0.6825604348636685,116.39662091615666,0.6575402115670209,114.85270231449067
161,595.8421280915741,627.4218795961366,589,677,0.6575402115670209,114.85270231449067,0.543362873546338,98.34867228252351
162,548.1894896641019,567.8953157172956,437,429,0.543362873546338,98.34867228252351,0.6868374798439936,112.51048652223372
163,550.5326427648713,532.5267210021069,556,450,0.6868374798439936,112.51048652223372,0.6868374798439936,112.51048652223372
164,514.3728499354099,523.9687047014747,430,504,0.6868374798439936,112.51048652223372,0.685150119937878,76.81511868005806
165,452.7609949547869,441.4780932910323,309,249,0.685150119937878,76.81511868005806,0.685150119937878,92.47056417007434
166,428.53269646835076,411.6346653037226,372,342,0.685150119937878,92.47056417007434,0.6854345801043218,95.82168204741703
167,434.3728875278455,412.64426571260583,448,415,0.6854345801043218,95.82168204741703,0.6059283166252655,88.55983782939103
168,390.7610212694918,371.9509859988241,289,277,0.6059283166252655,88.55983782939103,0.6503505107063738,80.6733370377696
169,367.73271488864424,362.96569019917683,314,342,0.6503505107063738,80.6733370377696,0.6693152767058419,97.743361153845
170,370.8129004220509,360.2759831394238,378,354,0.6693152767058419,97.743361153845,0.684907199499142,95.41033383418139
171,382.56903029543565,335.8931881975966,410,279,0.684907199499142,95.41033383418139,0.6169381992997287,67.7201197320566
172,315.4983212068049,279.8252317383176,159,149,0.6169381992997287,67.7201197320566,0.6868435138592754,93.39180858507942
173,328.54882484476343,297.8776622168223,359,340,0.6868435138592754,93.39180858507942,0.6424294801389925,110.51116593237988
174,349.6841773913344,325.51436355177555,399,390,0.6424294801389925,110.51116593237988,0.6870647658947026,75.76277465066119
175,323.97892417393405,294.76005448624284,264,223,0.6870647658947026,75.76277465066119,0.6870647658947026,88.31827221238468
176,337.1852469217538,271.43203814036997,368,217,0.6870647658947026,88.31827221238468,0.6870986559870467,77.05073770908486
177,364.4296728452276,281.80242669825896,428,306,0.6870986559870467,77.05073770908486,0.6871639260498632,118.55366441419746
178,432.7007709916593,369.16169868878126,592,573,0.6871639260498632,118.55366441419746,0.5065531672714119,116.32480492064063
179,435.4905396941615,356.81318908214683,442,328,0.5065531672714119,116.32480492064063,0.6814639928375665,116.75139213979604
180,443.743377785913,342.7692323575028,463,310,0.6814639928375665,116.75139213979604,0.6700370859424355,104.23171346278087
181,386.5203644501391,310.43846265025195,253,235,0.6700370859424355,104.23171346278087,0.6796002112796704,117.95454399685812
